customerID,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group,charges_per_tenure,total_to_monthly_ratio,avg_monthly_charges
7590-VHVEG,-0.43991649313097614,-1.2774445836787656,-1.1603229160349193,-0.9942419353101233,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,-1.2614049134355578,1.0495927638960636,-1.2791755293024563,-0.7579794568177897
5575-GNVDE,-0.43991649313097614,0.06632741908223598,-0.2596289419448806,-0.17324412574959375,0,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0.3660130761828034,-0.47507330275463205,0.029851136827277226,-0.11780140549332858
3668-QPYBK,-0.43991649313097614,-1.2367242199587352,-0.3626603559551803,-0.9596740712020441,1,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,-1.2614049134355578,1.3964241971165443,-1.2381550707313418,-0.41175533927329044
7795-CFOCW,-0.43991649313097614,0.5142514200025698,-0.7465354629935549,-0.19476626336477718,0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,0.3660130761828034,-0.5562006306586968,0.450419346452298,-0.3467503583152315
9237-HQITU,-0.43991649313097614,-1.2367242199587352,0.19736523310080326,-0.9404697022531111,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,-1.2614049134355578,2.0404032218840493,-1.2325972084244923,-0.1741103828522141
9305-CDSKC,-0.43991649313097614,-0.9924020376385531,1.1595456961969886,-0.6451859741727949,1,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,-1.2614049134355578,0.607852453632696,-0.9849001088559035,0.4915686502491227
1452-KIOVK,-0.43991649313097614,-0.4223169455581282,0.8089065291619363,-0.14679948896704018,0,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,-0.4476959186263772,-0.21746982379801877,-0.4298157898060786,0.3865108149417343
6713-OKOMC,-0.43991649313097614,-0.9109613101984924,-1.1636465100352518,-0.8741373704237511,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-1.2614049134355578,-0.3515436872132728,-0.9070343258811056,-0.5527778792435405
7892-POOKP,-0.43991649313097614,-0.1779947632379461,1.330710787214099,0.3373492744317471,1,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,0.3660130761828034,-0.24729388052853946,-0.13746226504082065,0.7188808077326676
6388-TABGU,-0.43991649313097614,1.2064976032430856,-0.28621769394753876,0.5324391741681479,0,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.179722070991984,-0.5594448375524886,1.2071534873430636,-0.09520757466117702
9763-GRSKD,-0.43991649313097614,-0.7888002190384014,-0.4922805219681379,-0.7480728289670203,0,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,-0.4476959186263772,-0.2525606689742195,-0.8414222933577453,-0.3148828262494281
7469-LKBCI,-0.43991649313097614,-0.6666391278783103,-1.5225946620711341,-0.8631445247495343,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,-0.4476959186263772,-0.5338267739617573,-0.6183050802534599,-0.6875295371809939
